,WKT,circuito,Partido,seccional,porcentaje_circuito
0,"POLYGON ((-64.0979720956389 -31.3805755095623,-64.10443004934 -31.3820503668885,-64.1049755215274 -31.3821749127081,-64.1086912503489 -31.3830271885647,-64.110685766527 -31.3834846485773,-64.1180860814348 -31.3852245572788,-64.1196044937441 -31.3855510982636,-64.1188815706023 -31.3751125735387,-64.1182807330169 -31.366434260377,-64.1177977814944 -31.3594572906323,-64.0971060557523 -31.3591531597042,-64.0979720956389 -31.3805755095623))",013E,CORDOBA CAMBIA,11,0.1956224350205198
1,"POLYGON ((-64.0979720956389 -31.3805755095623,-64.10443004934 -31.3820503668885,-64.1049755215274 -31.3821749127081,-64.1086912503489 -31.3830271885647,-64.110685766527 -31.3834846485773,-64.1180860814348 -31.3852245572788,-64.1196044937441 -31.3855510982636,-64.1188815706023 -31.3751125735387,-64.1182807330169 -31.366434260377,-64.1177977814944 -31.3594572906323,-64.0971060557523 -31.3591531597042,-64.0979720956389 -31.3805755095623))",013E,ENCUENTRO VECINAL CÓRDOBA,11,0.0642954856361149
2,"POLYGON ((-64.0979720956389 -31.3805755095623,-64.10443004934 -31.3820503668885,-64.1049755215274 -31.3821749127081,-64.1086912503489 -31.3830271885647,-64.110685766527 -31.3834846485773,-64.1180860814348 -31.3852245572788,-64.1196044937441 -31.3855510982636,-64.1188815706023 -31.3751125735387,-64.1182807330169 -31.366434260377,-64.1177977814944 -31.3594572906323,-64.0971060557523 -31.3591531597042,-64.0979720956389 -31.3805755095623))",013E,POLÍTICA ABIERTA PARA LA INTEGRIDAD SOCIAL (P.A.I.S.),11,0.0041039671682626
3,"POLYGON ((-64.0979720956389 -31.3805755095623,-64.10443004934 -31.3820503668885,-64.1049755215274 -31.3821749127081,-64.1086912503489 -31.3830271885647,-64.110685766527 -31.3834846485773,-64.1180860814348 -31.3852245572788,-64.1196044937441 -31.3855510982636,-64.1188815706023 -31.3751125735387,-64.1182807330169 -31.366434260377,-64.1177977814944 -31.3594572906323,-64.0971060557523 -31.3591531597042,-64.0979720956389 -31.3805755095623))",013E,UNIÓN CÍVICA RADICAL,11,0.1532147742818057
4,"POLYGON ((-64.0979720956389 -31.3805755095623,-64.10443004934 -31.3820503668885,-64.1049755215274 -31.3821749127081,-64.1086912503489 -31.3830271885647,-64.110685766527 -31.3834846485773,-64.1180860814348 -31.3852245572788,-64.1196044937441 -31.3855510982636,-64.1188815706023 -31.3751125735387,-64.1182807330169 -31.366434260377,-64.1177977814944 -31.3594572906323,-64.0971060557523 -31.3591531597042,-64.0979720956389 -31.3805755095623))",013E,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,11,0.0177838577291381
5,"POLYGON ((-64.0979720956389 -31.3805755095623,-64.10443004934 -31.3820503668885,-64.1049755215274 -31.3821749127081,-64.1086912503489 -31.3830271885647,-64.110685766527 -31.3834846485773,-64.1180860814348 -31.3852245572788,-64.1196044937441 -31.3855510982636,-64.1188815706023 -31.3751125735387,-64.1182807330169 -31.366434260377,-64.1177977814944 -31.3594572906323,-64.0971060557523 -31.3591531597042,-64.0979720956389 -31.3805755095623))",013E,MOVIMIENTO AVANZADA SOCIALISTA,11,0.0013679890560875
6,"POLYGON ((-64.0979720956389 -31.3805755095623,-64.10443004934 -31.3820503668885,-64.1049755215274 -31.3821749127081,-64.1086912503489 -31.3830271885647,-64.110685766527 -31.3834846485773,-64.1180860814348 -31.3852245572788,-64.1196044937441 -31.3855510982636,-64.1188815706023 -31.3751125735387,-64.1182807330169 -31.366434260377,-64.1177977814944 -31.3594572906323,-64.0971060557523 -31.3591531597042,-64.0979720956389 -31.3805755095623))",013E,HACEMOS POR CORDOBA,9,0.5020519835841313
7,"POLYGON ((-64.0979720956389 -31.3805755095623,-64.10443004934 -31.3820503668885,-64.1049755215274 -31.3821749127081,-64.1086912503489 -31.3830271885647,-64.110685766527 -31.3834846485773,-64.1180860814348 -31.3852245572788,-64.1196044937441 -31.3855510982636,-64.1188815706023 -31.3751125735387,-64.1182807330169 -31.366434260377,-64.1177977814944 -31.3594572906323,-64.0971060557523 -31.3591531597042,-64.0979720956389 -31.3805755095623))",013E,MOVIMIENTO DE ACCIÓN VECINAL,9,0.0027359781121751
8,"POLYGON ((-64.0979720956389 -31.3805755095623,-64.10443004934 -31.3820503668885,-64.1049755215274 -31.3821749127081,-64.1086912503489 -31.3830271885647,-64.110685766527 -31.3834846485773,-64.1180860814348 -31.3852245572788,-64.1196044937441 -31.3855510982636,-64.1188815706023 -31.3751125735387,-64.1182807330169 -31.366434260377,-64.1177977814944 -31.3594572906323,-64.0971060557523 -31.3591531597042,-64.0979720956389 -31.3805755095623))",013E,VECINALISMO INDEPENDIENTE,9,0.0068399452804377
9,"POLYGON ((-64.0979720956389 -31.3805755095623,-64.10443004934 -31.3820503668885,-64.1049755215274 -31.3821749127081,-64.1086912503489 -31.3830271885647,-64.110685766527 -31.3834846485773,-64.1180860814348 -31.3852245572788,-64.1196044937441 -31.3855510982636,-64.1188815706023 -31.3751125735387,-64.1182807330169 -31.366434260377,-64.1177977814944 -31.3594572906323,-64.0971060557523 -31.3591531597042,-64.0979720956389 -31.3805755095623))",013E,PARTIDO UNION CIUDADANA,9,0.0054719562243502
