,CIRCUITO,NOMBRE CIRCUITO,PARTIDO,CANTIDAD DE VOTOS,CANTIDAD DE VOTOS POR CIRCUITO,PORCENTAJE DE VOTOS DEL CIRCUITO,CIRCUITO_NUEVO
171,10J,SANTA ISABEL,UNIÓN CÍVICA RADICAL,861,8559,0.100595864,010J
172,10J,SANTA ISABEL,HACEMOS POR CORDOBA,4838,8559,0.5652529501,010J
173,10J,SANTA ISABEL,CORDOBA CAMBIA,1521,8559,0.1777076761,010J
174,10K,VICOR,UNIÓN CÍVICA RADICAL,459,3977,0.1154136284,010K
175,10K,VICOR,HACEMOS POR CORDOBA,2318,3977,0.5828513955,010K
176,10K,VICOR,CORDOBA CAMBIA,604,3977,0.1518732713,010K
177,10L,VILLA EL LIBERTADOR,UNIÓN CÍVICA RADICAL,1348,16806,0.08020944901,010L
178,10L,VILLA EL LIBERTADOR,HACEMOS POR CORDOBA,11019,16806,0.6556586933,010L
179,10L,VILLA EL LIBERTADOR,CORDOBA CAMBIA,2284,16806,0.1359038439,010L
180,10M,AMPLIACION CABILDO,UNIÓN CÍVICA RADICAL,80,1188,0.06734006734,010M
181,10M,AMPLIACION CABILDO,HACEMOS POR CORDOBA,860,1188,0.7239057239,010M
182,10M,AMPLIACION CABILDO,CORDOBA CAMBIA,99,1188,0.08333333333,010M
183,11,AERONAUTICO,UNIÓN CÍVICA RADICAL,174,3032,0.0573878628,0011
184,11,AERONAUTICO,HACEMOS POR CORDOBA,2156,3032,0.7110817942,0011
185,11,AERONAUTICO,CORDOBA CAMBIA,381,3032,0.1256596306,0011
186,11A,ALTO ALBERDI,UNIÓN CÍVICA RADICAL,1415,14959,0.09459188448,011A
