"","...1","titulo","eleccion","circuito","candidato","N°","agrupacion","votos","vot valido","vot nulo","total votantes","electores en padron","codigo_circuito","codigo_circuito1"
"20",48,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 5C    - EMPALME","Gobernador y Vicegobernador","A601","HACEMOS POR CORDOBA","6.340","12.371","442","13.522","17.984","   5C","   5C"
"21",49,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 5C    - EMPALME","Gobernador y Vicegobernador","P57","MOVIMIENTO DE ACCI<U+FFFD>N VECINAL","37","12.371","442","13.522","17.984","   5C","   5C"
"22",50,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 5C    - EMPALME","Gobernador y Vicegobernador","P191","VECINALISMO INDEPENDIENTE","263","12.371","442","13.522","17.984","   5C","   5C"
"23",51,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 5C    - EMPALME","Gobernador y Vicegobernador","P200","PARTIDO UNION CIUDADANA","99","12.371","442","13.522","17.984","   5C","   5C"
"24",52,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 5C    - EMPALME","Gobernador y Vicegobernador","A300","MST - NUEVA IZQUIERDA","254","12.371","442","13.522","17.984","   5C","   5C"
"25",66,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 117   - SANTA EUFEMIA","Gobernador y Vicegobernador","P22","PARTIDO HUMANISTA","20","1.486","44","1.619","2.149","  117","  117"
"26",67,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 117   - SANTA EUFEMIA","Gobernador y Vicegobernador","A500","CORDOBA CAMBIA","206","1.486","44","1.619","2.149","  117","  117"
"27",68,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 117   - SANTA EUFEMIA","Gobernador y Vicegobernador","P217","ENCUENTRO VECINAL C<U+FFFD>RDOBA","21","1.486","44","1.619","2.149","  117","  117"
"28",69,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 117   - SANTA EUFEMIA","Gobernador y Vicegobernador","20","UNI<U+FFFD>N DEL CENTRO DEMOCR<U+FFFD>TICO (U.CE.DE.)","8","1.486","44","1.619","2.149","  117","  117"
"29",70,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 117   - SANTA EUFEMIA","Gobernador y Vicegobernador","3","UNI<U+FFFD>N C<U+FFFD>VICA RADICAL","171","1.486","44","1.619","2.149","  117","  117"
