"","...1","titulo","eleccion","circuito","candidato","N°","agrupacion","votos","vot valido","vot nulo","total votantes","electores en padron","codigo_circuito","codigo_circuito1"
"1367",5910,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 360   - CHURQUI CA<U+FFFD>ADA","Gobernador y Vicegobernador","P200","PARTIDO UNION CIUDADANA","0","110","2","117","156","  360","  360"
"1368",5911,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 360   - CHURQUI CA<U+FFFD>ADA","Gobernador y Vicegobernador","A300","MST - NUEVA IZQUIERDA","0","110","2","117","156","  360","  360"
"1369",5923,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 24A   - VILLA DEL DIQUE","Gobernador y Vicegobernador","P22","PARTIDO HUMANISTA","39","2.449","89","2.623","3.616","  24A","  24A"
"1370",5924,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 24A   - VILLA DEL DIQUE","Gobernador y Vicegobernador","A500","CORDOBA CAMBIA","396","2.449","89","2.623","3.616","  24A","  24A"
"1371",5925,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 24A   - VILLA DEL DIQUE","Gobernador y Vicegobernador","P217","ENCUENTRO VECINAL C<U+FFFD>RDOBA","63","2.449","89","2.623","3.616","  24A","  24A"
"1372",5926,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 24A   - VILLA DEL DIQUE","Gobernador y Vicegobernador","20","UNI<U+FFFD>N DEL CENTRO DEMOCR<U+FFFD>TICO (U.CE.DE.)","10","2.449","89","2.623","3.616","  24A","  24A"
"1373",5927,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 24A   - VILLA DEL DIQUE","Gobernador y Vicegobernador","3","UNI<U+FFFD>N C<U+FFFD>VICA RADICAL","213","2.449","89","2.623","3.616","  24A","  24A"
"1374",5928,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 24A   - VILLA DEL DIQUE","Gobernador y Vicegobernador","A830","FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES","71","2.449","89","2.623","3.616","  24A","  24A"
"1375",5929,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 24A   - VILLA DEL DIQUE","Gobernador y Vicegobernador","P238","MOVIMIENTO AVANZADA SOCIALISTA","4","2.449","89","2.623","3.616","  24A","  24A"
"1376",5930,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 24A   - VILLA DEL DIQUE","Gobernador y Vicegobernador","A601","HACEMOS POR CORDOBA","1.562","2.449","89","2.623","3.616","  24A","  24A"
"1377",5931,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 24A   - VILLA DEL DIQUE","Gobernador y Vicegobernador","P57","MOVIMIENTO DE ACCI<U+FFFD>N VECINAL","7","2.449","89","2.623","3.616","  24A","  24A"
"1378",5932,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 24A   - VILLA DEL DIQUE","Gobernador y Vicegobernador","P191","VECINALISMO INDEPENDIENTE","23","2.449","89","2.623","3.616","  24A","  24A"
"1379",5933,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 24A   - VILLA DEL DIQUE","Gobernador y Vicegobernador","P200","PARTIDO UNION CIUDADANA","18","2.449","89","2.623","3.616","  24A","  24A"
"1380",5934,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 24A   - VILLA DEL DIQUE","Gobernador y Vicegobernador","A300","MST - NUEVA IZQUIERDA","43","2.449","89","2.623","3.616","  24A","  24A"
"1381",5990,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 98    - JAIME PETER","Gobernador y Vicegobernador","P22","PARTIDO HUMANISTA","0","39","0","46","63","   98","   98"
"1382",5991,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 98    - JAIME PETER","Gobernador y Vicegobernador","A500","CORDOBA CAMBIA","3","39","0","46","63","   98","   98"
"1383",5992,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 98    - JAIME PETER","Gobernador y Vicegobernador","P217","ENCUENTRO VECINAL C<U+FFFD>RDOBA","0","39","0","46","63","   98","   98"
"1384",5993,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 98    - JAIME PETER","Gobernador y Vicegobernador","20","UNI<U+FFFD>N DEL CENTRO DEMOCR<U+FFFD>TICO (U.CE.DE.)","0","39","0","46","63","   98","   98"
"1385",5994,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 98    - JAIME PETER","Gobernador y Vicegobernador","3","UNI<U+FFFD>N C<U+FFFD>VICA RADICAL","8","39","0","46","63","   98","   98"
"1386",5995,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 98    - JAIME PETER","Gobernador y Vicegobernador","A830","FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES","0","39","0","46","63","   98","   98"
"1387",5996,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 98    - JAIME PETER","Gobernador y Vicegobernador","P238","MOVIMIENTO AVANZADA SOCIALISTA","2","39","0","46","63","   98","   98"
"1388",5997,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 98    - JAIME PETER","Gobernador y Vicegobernador","A601","HACEMOS POR CORDOBA","24","39","0","46","63","   98","   98"
"1389",5998,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 98    - JAIME PETER","Gobernador y Vicegobernador","P57","MOVIMIENTO DE ACCI<U+FFFD>N VECINAL","0","39","0","46","63","   98","   98"
"1390",5999,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 98    - JAIME PETER","Gobernador y Vicegobernador","P191","VECINALISMO INDEPENDIENTE","1","39","0","46","63","   98","   98"
"1391",6000,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 98    - JAIME PETER","Gobernador y Vicegobernador","P200","PARTIDO UNION CIUDADANA","0","39","0","46","63","   98","   98"
"1392",6001,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 98    - JAIME PETER","Gobernador y Vicegobernador","A300","MST - NUEVA IZQUIERDA","1","39","0","46","63","   98","   98"
"1393",6097,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 377   - BREMEN","Gobernador y Vicegobernador","P22","PARTIDO HUMANISTA","0","195","3","200","256","  377","  377"
"1394",6098,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 377   - BREMEN","Gobernador y Vicegobernador","A500","CORDOBA CAMBIA","20","195","3","200","256","  377","  377"
"1395",6099,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 377   - BREMEN","Gobernador y Vicegobernador","P217","ENCUENTRO VECINAL C<U+FFFD>RDOBA","1","195","3","200","256","  377","  377"
"1396",6100,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 377   - BREMEN","Gobernador y Vicegobernador","20","UNI<U+FFFD>N DEL CENTRO DEMOCR<U+FFFD>TICO (U.CE.DE.)","3","195","3","200","256","  377","  377"
"1397",6101,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 377   - BREMEN","Gobernador y Vicegobernador","3","UNI<U+FFFD>N C<U+FFFD>VICA RADICAL","13","195","3","200","256","  377","  377"
"1398",6102,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 377   - BREMEN","Gobernador y Vicegobernador","A830","FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES","0","195","3","200","256","  377","  377"
"1399",6103,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 377   - BREMEN","Gobernador y Vicegobernador","P238","MOVIMIENTO AVANZADA SOCIALISTA","1","195","3","200","256","  377","  377"
"1400",6104,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 377   - BREMEN","Gobernador y Vicegobernador","A601","HACEMOS POR CORDOBA","154","195","3","200","256","  377","  377"
"1401",6105,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 377   - BREMEN","Gobernador y Vicegobernador","P57","MOVIMIENTO DE ACCI<U+FFFD>N VECINAL","0","195","3","200","256","  377","  377"
"1402",6106,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 377   - BREMEN","Gobernador y Vicegobernador","P191","VECINALISMO INDEPENDIENTE","0","195","3","200","256","  377","  377"
"1403",6107,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 377   - BREMEN","Gobernador y Vicegobernador","P200","PARTIDO UNION CIUDADANA","0","195","3","200","256","  377","  377"
"1404",6108,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 377   - BREMEN","Gobernador y Vicegobernador","A300","MST - NUEVA IZQUIERDA","3","195","3","200","256","  377","  377"
"1405",6109,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 99    - QUILINO ESTACION","Gobernador y Vicegobernador","P22","PARTIDO HUMANISTA","26","2.617","73","2.821","4.263","   99","   99"
"1406",6110,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 99    - QUILINO ESTACION","Gobernador y Vicegobernador","A500","CORDOBA CAMBIA","139","2.617","73","2.821","4.263","   99","   99"
"1407",6111,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 99    - QUILINO ESTACION","Gobernador y Vicegobernador","P217","ENCUENTRO VECINAL C<U+FFFD>RDOBA","13","2.617","73","2.821","4.263","   99","   99"
"1408",6112,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 99    - QUILINO ESTACION","Gobernador y Vicegobernador","20","UNI<U+FFFD>N DEL CENTRO DEMOCR<U+FFFD>TICO (U.CE.DE.)","2","2.617","73","2.821","4.263","   99","   99"
"1409",6113,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 99    - QUILINO ESTACION","Gobernador y Vicegobernador","3","UNI<U+FFFD>N C<U+FFFD>VICA RADICAL","255","2.617","73","2.821","4.263","   99","   99"
"1410",6114,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 99    - QUILINO ESTACION","Gobernador y Vicegobernador","A830","FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES","17","2.617","73","2.821","4.263","   99","   99"
"1411",6115,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 99    - QUILINO ESTACION","Gobernador y Vicegobernador","P238","MOVIMIENTO AVANZADA SOCIALISTA","6","2.617","73","2.821","4.263","   99","   99"
"1412",6116,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 99    - QUILINO ESTACION","Gobernador y Vicegobernador","A601","HACEMOS POR CORDOBA","2.128","2.617","73","2.821","4.263","   99","   99"
"1413",6117,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 99    - QUILINO ESTACION","Gobernador y Vicegobernador","P57","MOVIMIENTO DE ACCI<U+FFFD>N VECINAL","6","2.617","73","2.821","4.263","   99","   99"
"1414",6118,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 99    - QUILINO ESTACION","Gobernador y Vicegobernador","P191","VECINALISMO INDEPENDIENTE","10","2.617","73","2.821","4.263","   99","   99"
"1415",6119,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 99    - QUILINO ESTACION","Gobernador y Vicegobernador","P200","PARTIDO UNION CIUDADANA","1","2.617","73","2.821","4.263","   99","   99"
"1416",6120,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 99    - QUILINO ESTACION","Gobernador y Vicegobernador","A300","MST - NUEVA IZQUIERDA","14","2.617","73","2.821","4.263","   99","   99"
"1417",6210,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 10A   - CABILDO","Gobernador y Vicegobernador","P22","PARTIDO HUMANISTA","57","3.693","182","4.069","5.108","  10A","  10A"
"1418",6211,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 10A   - CABILDO","Gobernador y Vicegobernador","A500","CORDOBA CAMBIA","548","3.693","182","4.069","5.108","  10A","  10A"
"1419",6212,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 10A   - CABILDO","Gobernador y Vicegobernador","P217","ENCUENTRO VECINAL C<U+FFFD>RDOBA","183","3.693","182","4.069","5.108","  10A","  10A"
"1420",6213,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 10A   - CABILDO","Gobernador y Vicegobernador","20","UNI<U+FFFD>N DEL CENTRO DEMOCR<U+FFFD>TICO (U.CE.DE.)","8","3.693","182","4.069","5.108","  10A","  10A"
"1421",6214,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 10A   - CABILDO","Gobernador y Vicegobernador","3","UNI<U+FFFD>N C<U+FFFD>VICA RADICAL","352","3.693","182","4.069","5.108","  10A","  10A"
"1422",6215,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 10A   - CABILDO","Gobernador y Vicegobernador","A830","FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES","111","3.693","182","4.069","5.108","  10A","  10A"
"1423",6216,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 10A   - CABILDO","Gobernador y Vicegobernador","P238","MOVIMIENTO AVANZADA SOCIALISTA","6","3.693","182","4.069","5.108","  10A","  10A"
"1424",6217,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 10A   - CABILDO","Gobernador y Vicegobernador","A601","HACEMOS POR CORDOBA","2.272","3.693","182","4.069","5.108","  10A","  10A"
"1425",6218,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 10A   - CABILDO","Gobernador y Vicegobernador","P57","MOVIMIENTO DE ACCI<U+FFFD>N VECINAL","9","3.693","182","4.069","5.108","  10A","  10A"
"1426",6219,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 10A   - CABILDO","Gobernador y Vicegobernador","P191","VECINALISMO INDEPENDIENTE","71","3.693","182","4.069","5.108","  10A","  10A"
"1427",6220,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 10A   - CABILDO","Gobernador y Vicegobernador","P200","PARTIDO UNION CIUDADANA","19","3.693","182","4.069","5.108","  10A","  10A"
"1428",6221,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 10A   - CABILDO","Gobernador y Vicegobernador","A300","MST - NUEVA IZQUIERDA","57","3.693","182","4.069","5.108","  10A","  10A"
"1429",6235,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 378   - CANALS","Gobernador y Vicegobernador","P22","PARTIDO HUMANISTA","60","4.704","127","5.012","7.645","  378","  378"
"1430",6236,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 378   - CANALS","Gobernador y Vicegobernador","A500","CORDOBA CAMBIA","776","4.704","127","5.012","7.645","  378","  378"
"1431",6237,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 378   - CANALS","Gobernador y Vicegobernador","P217","ENCUENTRO VECINAL C<U+FFFD>RDOBA","150","4.704","127","5.012","7.645","  378","  378"
"1432",6238,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 378   - CANALS","Gobernador y Vicegobernador","20","UNI<U+FFFD>N DEL CENTRO DEMOCR<U+FFFD>TICO (U.CE.DE.)","20","4.704","127","5.012","7.645","  378","  378"
"1433",6239,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 378   - CANALS","Gobernador y Vicegobernador","3","UNI<U+FFFD>N C<U+FFFD>VICA RADICAL","405","4.704","127","5.012","7.645","  378","  378"
"1434",6240,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 378   - CANALS","Gobernador y Vicegobernador","A830","FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES","39","4.704","127","5.012","7.645","  378","  378"
"1435",6241,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 378   - CANALS","Gobernador y Vicegobernador","P238","MOVIMIENTO AVANZADA SOCIALISTA","29","4.704","127","5.012","7.645","  378","  378"
"1436",6242,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 378   - CANALS","Gobernador y Vicegobernador","A601","HACEMOS POR CORDOBA","3.130","4.704","127","5.012","7.645","  378","  378"
"1437",6243,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 378   - CANALS","Gobernador y Vicegobernador","P57","MOVIMIENTO DE ACCI<U+FFFD>N VECINAL","13","4.704","127","5.012","7.645","  378","  378"
"1438",6244,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 378   - CANALS","Gobernador y Vicegobernador","P191","VECINALISMO INDEPENDIENTE","10","4.704","127","5.012","7.645","  378","  378"
"1439",6245,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 378   - CANALS","Gobernador y Vicegobernador","P200","PARTIDO UNION CIUDADANA","22","4.704","127","5.012","7.645","  378","  378"
"1440",6246,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 378   - CANALS","Gobernador y Vicegobernador","A300","MST - NUEVA IZQUIERDA","50","4.704","127","5.012","7.645","  378","  378"
"1441",6328,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 379   - CARCANO","Gobernador y Vicegobernador","P22","PARTIDO HUMANISTA","0","8","1","10","23","  379","  379"
"1442",6329,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 379   - CARCANO","Gobernador y Vicegobernador","A500","CORDOBA CAMBIA","1","8","1","10","23","  379","  379"
"1443",6330,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 379   - CARCANO","Gobernador y Vicegobernador","P217","ENCUENTRO VECINAL C<U+FFFD>RDOBA","1","8","1","10","23","  379","  379"
"1444",6331,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 379   - CARCANO","Gobernador y Vicegobernador","20","UNI<U+FFFD>N DEL CENTRO DEMOCR<U+FFFD>TICO (U.CE.DE.)","0","8","1","10","23","  379","  379"
"1445",6332,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 379   - CARCANO","Gobernador y Vicegobernador","3","UNI<U+FFFD>N C<U+FFFD>VICA RADICAL","1","8","1","10","23","  379","  379"
"1446",6333,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 379   - CARCANO","Gobernador y Vicegobernador","A830","FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES","0","8","1","10","23","  379","  379"
"1447",6334,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 379   - CARCANO","Gobernador y Vicegobernador","P238","MOVIMIENTO AVANZADA SOCIALISTA","1","8","1","10","23","  379","  379"
"1448",6335,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 379   - CARCANO","Gobernador y Vicegobernador","A601","HACEMOS POR CORDOBA","4","8","1","10","23","  379","  379"
"1449",6336,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 379   - CARCANO","Gobernador y Vicegobernador","P57","MOVIMIENTO DE ACCI<U+FFFD>N VECINAL","0","8","1","10","23","  379","  379"
"1450",6337,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 379   - CARCANO","Gobernador y Vicegobernador","P191","VECINALISMO INDEPENDIENTE","0","8","1","10","23","  379","  379"
"1451",6338,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 379   - CARCANO","Gobernador y Vicegobernador","P200","PARTIDO UNION CIUDADANA","0","8","1","10","23","  379","  379"
"1452",6339,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 379   - CARCANO","Gobernador y Vicegobernador","A300","MST - NUEVA IZQUIERDA","0","8","1","10","23","  379","  379"
"1453",6392,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 10B   - CIUDADELA","Gobernador y Vicegobernador","P22","PARTIDO HUMANISTA","129","8.590","225","9.153","11.958","  10B","  10B"
"1454",6393,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 10B   - CIUDADELA","Gobernador y Vicegobernador","A500","CORDOBA CAMBIA","2.221","8.590","225","9.153","11.958","  10B","  10B"
"1455",6394,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 10B   - CIUDADELA","Gobernador y Vicegobernador","P217","ENCUENTRO VECINAL C<U+FFFD>RDOBA","704","8.590","225","9.153","11.958","  10B","  10B"
"1456",6395,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 10B   - CIUDADELA","Gobernador y Vicegobernador","20","UNI<U+FFFD>N DEL CENTRO DEMOCR<U+FFFD>TICO (U.CE.DE.)","16","8.590","225","9.153","11.958","  10B","  10B"
"1457",6396,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 10B   - CIUDADELA","Gobernador y Vicegobernador","3","UNI<U+FFFD>N C<U+FFFD>VICA RADICAL","863","8.590","225","9.153","11.958","  10B","  10B"
"1458",6397,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 10B   - CIUDADELA","Gobernador y Vicegobernador","A830","FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES","483","8.590","225","9.153","11.958","  10B","  10B"
"1459",6398,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 10B   - CIUDADELA","Gobernador y Vicegobernador","P238","MOVIMIENTO AVANZADA SOCIALISTA","20","8.590","225","9.153","11.958","  10B","  10B"
"1460",6399,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 10B   - CIUDADELA","Gobernador y Vicegobernador","A601","HACEMOS POR CORDOBA","3.638","8.590","225","9.153","11.958","  10B","  10B"
"1461",6400,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 10B   - CIUDADELA","Gobernador y Vicegobernador","P57","MOVIMIENTO DE ACCI<U+FFFD>N VECINAL","25","8.590","225","9.153","11.958","  10B","  10B"
"1462",6401,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 10B   - CIUDADELA","Gobernador y Vicegobernador","P191","VECINALISMO INDEPENDIENTE","213","8.590","225","9.153","11.958","  10B","  10B"
"1463",6402,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 10B   - CIUDADELA","Gobernador y Vicegobernador","P200","PARTIDO UNION CIUDADANA","66","8.590","225","9.153","11.958","  10B","  10B"
"1464",6403,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 10B   - CIUDADELA","Gobernador y Vicegobernador","A300","MST - NUEVA IZQUIERDA","212","8.590","225","9.153","11.958","  10B","  10B"
"1465",6456,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 350   - CANDELARIA","Gobernador y Vicegobernador","P22","PARTIDO HUMANISTA","1","282","7","320","400","  350","  350"
"1466",6457,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 350   - CANDELARIA","Gobernador y Vicegobernador","A500","CORDOBA CAMBIA","15","282","7","320","400","  350","  350"
